"anweight","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19"
0.8585691,5,"5 - Every day",600,2,4,5,"3 - Hardly interested","3 - Some","1 - Not at all able","3 - Some","1 - Not at all confident",8,7,3,4,5,7,8,"Yes",7,"2 - Less than once a month","0 - None","1 - Much less than most","No","3 - Unsafe","2 - Good","2 - Yes to some extent",2,8,"No",5,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes",NA,"Yes",6,"3 - Somewhat worried",8,"5 - Less than 4 times a week but at least once a week","3 - Once a day",1,"6 - I have never smoked","5 - Once a month",24.6,18,"3 - Monthly",160,85,"Yes",6,"Female",24,NA,"3 - Somewhat like me","No"
0.5036396,60,"5 - Every day",75,5,6,5,"1 - Very interested","3 - Some","3 - Quite able","3 - Some","2 - A little confident",8,9,9,8,7,8,9,"Yes",10,"7 - Every day","4-6","5 - Much more than most","No","2 - Safe","1 - Very good","3 - No",9,7,"Yes",7,"4 - At least once a month","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",9,"5 - Extremely worried",8,"3 - Once a day","4 - Less than once a day but at least 4 times a week",4,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",180,91,"No",10,"Male",61,"Legally married","2 - Like me","Yes"
0.4133283,90,"5 - Every day",90,7,7,7,"3 - Hardly interested","1 - Not at all","2 - A little able","3 - Some","2 - A little confident",6,3,3,3,3,3,3,"Yes",6,"5 - Once a week","2","2 - Less than most","No","2 - Safe","4 - Bad","1 - Yes a lot",8,7,"Yes",6,"6 - Less often","2 - More than once a week","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",6,"5 - Less than 4 times a week but at least once a week","2 - Twice a day",0,"6 - I have never smoked","3 - Once a week",9.6,72,"2 - Weekly",172,86,"No",3,"Male",57,NA,"3 - Somewhat like me","No"
0.95117843,60,"5 - Every day",720,6,4,5,"2 - Quite interested","2 - Very little","3 - Quite able","3 - Some","3 - Quite confident",6,7,7,4,4,7,9,"Yes",8,"5 - Once a week","3","2 - Less than most","Yes","1 - Very safe","1 - Very good","3 - No",3,3,"No",1,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",8,"4 - Less than once a day but at least 4 times a week","3 - Once a day",0,"6 - I have never smoked","4 - 2-3 times a month",13.2,36.9,"4 - Less than monthly",185,90,"No",9,"Male",25,NA,"3 - Somewhat like me","Yes"
0.61456406,75,"5 - Every day",600,8,8,7,"1 - Very interested","3 - Some","3 - Quite able","2 - Very little","3 - Quite confident",6,7,7,7,6,4,8,"Yes",8,"6 - Several times a week","3","4 - More than most","No","2 - Safe","2 - Good","3 - No",6,3,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"3 - Somewhat worried",7,"2 - Twice a day","3 - Once a day",4,"4 - I don’t smoke now but I used to","4 - 2-3 times a month",100,40,"3 - Monthly",181,104,"Yes",9,"Male",42,"Legally married","4 - A little like me","Yes"
0.61456406,45,"5 - Every day",300,2,3,4,"3 - Hardly interested","1 - Not at all","4 - Very able","1 - Not at all","3 - Quite confident",0,1,7,0,1,1,4,"Yes",8,"6 - Several times a week","7-9","4 - More than most","Yes","2 - Safe","3 - Fair","3 - No",3,2,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",6,"3 - Somewhat worried",6,"3 - Once a day","2 - Twice a day",7,"4 - I don’t smoke now but I used to","4 - 2-3 times a month",0,21.1,"5 - Never",173,84,"No",8,"Male",51,"Legally married","1 - Very much like me","Yes"
0.32338783,100,"5 - Every day",170,7,2,7,"2 - Quite interested","3 - Some","3 - Quite able","4 - A lot","3 - Quite confident",7,8,7,6,6,7,8,"Yes",8,"4 - Several times a month","4-6","4 - More than most","No","2 - Safe","2 - Good","3 - No",7,7,"No",5,"6 - Less often","5 - Only on special holy days","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",8,"3 - Once a day","3 - Once a day",3,"5 - I have only smoked a few times","2 - Several times a week",47.5,13.2,"2 - Weekly",180,74,"No",8,"Male",82,"Legally married","1 - Very much like me","Yes"
0.712037,30,"5 - Every day",180,1,2,4,"4 - Not at all interested","1 - Not at all","3 - Quite able","2 - Very little","3 - Quite confident",5,6,6,2,2,5,5,"No",6,"6 - Several times a week","3","2 - Less than most","No","1 - Very safe","2 - Good","3 - No",8,5,"Yes",7,"7 - Never","4 - At least once a month","Yes","Yes","Yes",NA,"Yes","No","No",8,"3 - Somewhat worried",4,"6 - Less than once a week","3 - Once a day",1,"2 - I smoke daily, 9 or fewer cigarettes","3 - Once a week",13.2,108.2,"2 - Weekly",175,67,"No",5,"Female",34,NA,"2 - Like me","Yes"
0.5340134,0,"5 - Every day",180,5,6,6,"4 - Not at all interested","4 - A lot","1 - Not at all able","4 - A lot","2 - A little confident",5,6,7,4,5,5,5,"Yes",7,"6 - Several times a week","4-6","2 - Less than most","No","2 - Safe","2 - Good","3 - No",5,5,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",5,"2 - Twice a day","2 - Twice a day",1,"6 - I have never smoked","6 - Less than once a month",13.2,13.2,"5 - Never",158,64,"No",7,"Female",32,"Living with my partner - not legally recognised","2 - Like me","Yes"
0.6068123,180,"2 - Only occasionally",NA,5,5,7,"3 - Hardly interested","1 - Not at all","1 - Not at all able","2 - Very little","1 - Not at all confident",6,8,8,8,7,7,7,"Yes",6,"5 - Once a week","3","2 - Less than most","No","3 - Unsafe","3 - Fair","3 - No",7,7,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",6,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","5 - Once a month",19.8,19.8,"3 - Monthly",160,87,"No",5,"Female",77,NA,"2 - Like me","Yes"
